name,latitude,longitude,property_type,room_type,accommodates,price,number_of_reviews
Large Victorian House in Castro,37.76052,-122.42939,House,Entire home/apt,8,$595.00,19
Charming Bungalow on the Sunnyside,37.72836,-122.44797,House,Private room,2,$95.00,32
Master bedroom suite,37.76479,-122.43611,Apartment,Private room,2,$119.00,11
Lovely view condo near BART/Mission,37.74271,-122.41955,Condominium,Entire home/apt,4,$160.00,33
Elegant Queen Ann Victorian,37.77307,-122.44293,Guest suite,Entire home/apt,4,$190.00,356
BEDROOM (((REAR: Oct. 28--->))),37.75711,-122.40963,House,Private room,1,$83.00,40
Castro Classic Victorian w/ Views,37.76174,-122.44339,Apartment,Private room,2,$125.00,375
MissionOutr PvtBR w/ TwinBed+Fridge,37.72965,-122.42539,House,Private room,2,$40.00,20
Mission Outr BedRmD1+Fridge+Patio,37.73019,-122.42317,House,Private room,2,$45.00,26
In-Law Bedroom in Castro Victorian,37.75813,-122.4355,Apartment,Entire home/apt,3,$115.00,212
Mid-Century Modern Flat Central Locale,37.77093,-122.42823,Condominium,Private room,2,$90.00,13
Location! Stylish home! Must See!,37.76079,-122.43447,Apartment,Entire home/apt,5,$270.00,175
Beautiful spacious modern apt with great views,37.72636,-122.43342,Apartment,Private room,2,$85.00,0
Garden Lovers @Heart of the Castro,37.7586,-122.43332,Apartment,Private room,2,$95.00,94
Luxury Apartment in SOMA Sleeps 4,37.79178,-122.39502,Apartment,Entire home/apt,4,$500.00,1
Castro View Whole Top flr Apartment,37.76055,-122.44221,Apartment,Entire home/apt,6,$549.00,37
Quiet Modern Loft w/ Private Garden,37.75139,-122.41194,House,Entire home/apt,2,$200.00,85
Cozy room in the Mission,37.75131,-122.40795,House,Private room,1,$70.00,106
Beautiful 4-bdrm in San Francisco,37.76588,-122.44281,House,Entire home/apt,8,$672.00,13
Best location in San Francisco,37.76648,-122.44542,Guest suite,Entire home/apt,2,$130.00,271
3Br/2Bath Mid century home in Bernal Heights,37.74587,-122.41626,House,Entire home/apt,6,$390.00,13
Stylish Spacious Bernal Dwelling,37.74498,-122.41927,House,Private room,2,$102.00,180
Serene 1 Bedroom Garden Unit in Sunny Potrero,37.76196,-122.39411,Guest suite,Entire home/apt,2,$250.00,122
Grand and Cozy 1920's SF Studio,37.74248,-122.41069,Apartment,Entire home/apt,5,$149.00,383
Stylish Mission Condo steps to Dolores Park,37.76016,-122.42265,Apartment,Entire home/apt,4,$355.00,27
Amazing modern views house in SF,37.75666,-122.43607,House,Entire home/apt,6,$700.00,34
Bernal Village Small Town San Fran,37.74002,-122.41813,Condominium,Entire home/apt,4,$169.00,70
Clean Well-lighted Place to Stay,37.72042,-122.46914,House,Private room,2,$60.00,15
Luxury PanoView NoeValley Penthouse,37.74987,-122.44027,Apartment,Entire home/apt,5,$189.00,80
Prime Location - Studio Apartment,37.79363,-122.42493,Apartment,Entire home/apt,2,$130.00,20
LOVELY BEDROOM IN SUNNY POTRERO HILL,37.76318,-122.40708,Apartment,Private room,2,$99.00,146
Modern comfy home in NOPA/Haight!,37.77044,-122.43599,Condominium,Entire home/apt,2,$289.00,100
BEDROOM UNIT large garden level Oct 29--->,37.75635,-122.40996,Guest suite,Entire home/apt,3,$119.00,20
Luxury Bed & Bath with private Living Room,37.78377,-122.47522,House,Private room,4,$132.00,215
Sunny Room w/ Private Sink,37.75906,-122.40761,Apartment,Private room,1,$68.00,13
Private cozy studio near nature,37.78135,-122.48266,Apartment,Entire home/apt,2,$140.00,213
Penthouse Studio w Rooftop Deck!,37.78321,-122.41969,Apartment,Entire home/apt,2,$124.00,8
Shelli's Student Home4(1 Month Min),37.79418,-122.40582,House,Shared room,1,$30.00,9
Shelli's Student Home3(1 Month Min),37.79455,-122.406,House,Shared room,1,$30.00,9
Shelli's Student Home2(1 Month Min),37.79478,-122.40592,House,Shared room,1,$30.00,6
Restful Room in a Condo with a Wood Fire,37.77884,-122.50535,Condominium,Private room,2,$128.00,271
Classic Room @ Heart of The Castro,37.76003,-122.4357,Apartment,Private room,2,$116.00,54
Cool Blue @ The Heart of The Castro,37.75941,-122.43363,Condominium,Private room,2,$109.00,28
Heart of the Castro - 4 bedroom,37.75978,-122.4351,Condominium,Entire home/apt,9,$350.00,28
Right in the middle living,37.7748,-122.42711,Apartment,Entire home/apt,2,$250.00,19
OceanBeach2br2BathFreeParking!,37.75925,-122.50893,House,Entire home/apt,6,$324.00,123
Lux Furnished Historic Home. Bay Views Huge Yard,37.74054,-122.43121,Apartment,Entire home/apt,5,$190.00,8
Charming Apt in the middle of SF F1,37.77407,-122.4331,Apartment,Entire home/apt,7,$110.00,21
Live Where the City meets the Sea,37.75385,-122.50806,Apartment,Private room,1,$57.00,97
Central SF.  Painted Ladies 4 Blks  5 Star.,37.77346,-122.42917,House,Private room,2,$89.00,108
Comfy home in central location!,37.78101,-122.44083,House,Entire home/apt,6,$425.00,42
2BR 2BA w/parking in San Francisco,37.72594,-122.43327,Condominium,Entire home/apt,4,$225.00,12
Russian Hill Studio,37.80041,-122.41569,Serviced apartment,Hotel room,2,$148.00,3
Charming suite in West Portal area,37.73853,-122.47166,Apartment,Entire home/apt,2,$160.00,429
Gorgeous Bernal Heights Studio Apt with Private Entrance,37.74687,-122.40964,Guest suite,Entire home/apt,2,$145.00,200
Penthouse Panoramic View Home with Decks,37.80139,-122.41534,Condominium,Entire home/apt,12,$490.00,29
